time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.2000000000000006,-0.06265216360822584,-0.08896500673432435,11.607505534072743,6.24849385133782,0.0404201591824771,0.0,-0.20797228948544738,-0.24316918701245405,2.781980400078223,-0.004047762996443995,0.07827258985713263,0.0,475.06610245893273,477.5592434266742,477.2355942571884,479.28721828696115
1.2600000000000007,-0.07601280907725018,-0.10429712810645336,11.778103054295435,6.24860184638975,0.04483333492445585,0.0,-0.23785235170870353,-0.26789631054956853,2.90427369726533,0.01148535345867799,0.061880506473603866,0.0,452.213720386179,450.8954206926034,451.07446277052196,452.3270851652441
1.3200000000000007,-0.0913668464852151,-0.12119078370527234,11.958449289954881,6.249090974283643,0.048560191749654535,0.0,-0.27436105654471177,-0.29513773455910036,3.1067136825274058,0.00047530723280852323,0.06257756771404606,0.0,477.1566598703628,477.2123576469856,476.08869670714114,475.24543626000747
1.3800000000000008,-0.10896058907699732,-0.13968116448621684,12.150135261380049,6.250153992106343,0.05215104507864421,0.0,-0.3124899224865478,-0.32111634221550184,3.2823036216218258,0.03950521537587734,0.05373910700467949,0.0,470.5418773296836,469.8594450762067,467.53495935296917,470.5660681742933
1.4400000000000008,-0.12894575152734844,-0.15971213574152573,12.352793439685659,6.252675012007099,0.05536763995868643,0.0,-0.35402481302718486,-0.3462836017143967,3.472390851183596,0.04661769593501487,0.053350369641474396,0.0,474.7123030297459,474.6841679204528,474.94128995474654,475.48731787111564
1.5000000000000009,-0.15131150481374375,-0.18109298367259113,12.563521107088356,6.255261809769136,0.05840286906495962,0.0,-0.3917968606203552,-0.3661386438107941,3.551603735441636,0.034977643053186014,0.0443944364254155,0.0,443.05233352507736,442.3169728073886,442.49490215514993,441.53662076152386
1.560000000000001,-0.17597123920270957,-0.20360126873000656,12.778462023346883,6.257540280944514,0.06062588076711517,0.0,-0.430426460866668,-0.38392305749116873,3.6128840664418376,0.04337874789803539,0.015323040101859718,0.0,438.1401894788764,435.71697951418616,437.1326253391384,437.83288652814286
1.620000000000001,-0.20331478855578652,-0.22726689979734788,13.002474097274334,6.259809830635152,0.061615971059525876,0.0,-0.4810971798649014,-0.4046110683062699,3.8533942453967067,0.023395144629912486,0.018759895324114154,0.0,492.01719922618315,492.2714754218663,491.8587417965249,490.37699436959
1.680000000000001,-0.23361947688979162,-0.25208390077406123,13.239211963377018,6.2611757689113325,0.06224104368498651,0.0,-0.5291347210771198,-0.42245134455913036,4.037220653480293,0.02147606807590563,-0.01681070823104204,0.0,477.9413436663199,475.2223828357481,477.13257890767215,476.98603312956453
1.740000000000001,-0.26637093052193683,-0.2777860024011861,13.47988015989614,6.262088496473748,0.061031136417099674,0.0,-0.5625087996590612,-0.43420062104909013,3.985237623357215,-0.0018490715789012107,-0.02789756184486044,0.0,403.53695383538115,402.5347685022219,404.30472757432864,402.19743750277337
1.8000000000000012,-0.30135751791378146,-0.30427097981804857,13.721593446441448,6.261855642589593,0.05918113576869466,0.0,-0.6035220931314603,-0.44864408736880057,4.071568902474564,-0.00829057704549927,-0.0374668311452163,0.0,448.4257973382011,447.64739634078074,448.6999161989351,448.1767043337946
1.8600000000000012,-0.33859695104492693,-0.33156685211579345,13.965607748930388,6.261821205614712,0.05671308233672523,0.0,-0.6375993029236776,-0.46124090062100676,4.062280176186155,0.01157229564581097,-0.04971734148387623,0.0,418.78659916814667,417.71851201285614,416.8338886824469,418.56628075836403
1.9200000000000013,-0.3780315163048584,-0.3596896039972512,14.212518264043492,6.262254043804674,0.053929644447372915,0.0,-0.6765765813305805,-0.4761188003096579,4.167703374472342,-0.0033615368913895985,-0.04045423477787674,0.0,454.62827523935334,455.3686845046778,454.98968282659376,453.7923125984914
1.9800000000000013,-0.41995871332322254,-0.38878104027550686,14.469628779217853,6.26207342392096,0.052236390135864674,0.0,-0.7207147149247103,-0.4936025936308344,4.401776136721784,-0.0023169616227015806,-0.01099143373691771,0.0,492.2411180908285,494.4164822579763,493.51000515616164,493.58716739845227
2.0400000000000014,-0.46424717240172786,-0.4188229239958502,14.73592532885068,6.262342743972296,0.051650335428718996,0.0,-0.755497961072293,-0.5077806189168724,4.474488038873533,0.015465486039968827,-0.007425800219070185,0.0,446.0952640618586,446.3864814876628,447.3536531202813,448.79939233742533
